Entity,Code,Year,Cumulative CO₂ emissions by nation (tonnes)
China,CHN,2014,1.70877E+11
China,CHN,2015,1.80593E+11
China,CHN,2016,1.90298E+11
China,CHN,2017,2.00136E+11
India,IND,2014,41437242850
India,IND,2015,43713650045
India,IND,2016,46091097909
India,IND,2017,48557863281
Japan,JPN,2014,58671561922
Japan,JPN,2015,59895228397
Japan,JPN,2016,61099547020
Japan,JPN,2017,62304608199
Russia,RUS,2014,95556344096
Russia,RUS,2015,97228239175
Russia,RUS,2016,98896309108
Russia,RUS,2017,1.00589E+11
United Kingdom,GBR,2014,75865135422
United Kingdom,GBR,2015,76287797976
United Kingdom,GBR,2016,76686348860
United Kingdom,GBR,2017,77071055648
United States,USA,2014,3.83377E+11
United States,USA,2015,3.88798E+11
United States,USA,2016,3.94109E+11
United States,USA,2017,3.99378E+11
